Life.Church,236429,205,2017-05-22 10:38:57.508000
Life.Church,236429,205,2017-05-22 10:43:30.277000
Life.Church,236440,216,2017-05-22 13:41:25.667000
Life.Church,236443,219,2017-05-22 13:58:41.864000
Life.Church,236443,219,2017-05-22 14:00:57.046000
Life.Church,236444,220,2017-05-22 14:02:01.413000
Life.Church,236444,220,2017-05-22 14:02:22.480000
Life.Church,236444,220,2017-05-22 14:08:43.020000
Life.Church,236445,221,2017-05-22 14:12:30.750000
Life.Church,236445,221,2017-05-22 14:12:49.570000
Life.Church,236445,221,2017-05-22 14:13:06.841000
Life.Church,236448,224,2017-05-22 14:20:59.341000
Life.Church,236448,224,2017-05-22 14:21:22.443000
Life.Church,236448,224,2017-05-22 14:23:06.998000
